link,date
https://i.postimg.cc/fyK8zRsN/4448.png,14-04-2022
https://postlmg.cc/cvsC9377,15-05-2022
https://i.postimg.cc/VNr6V1VC/UA-T-64-BV-destroyed.png,15-04-2022
https://i.postimg.cc/MpTywrkc/2003-t64bv-destr.jpg,NO_DATE_FOUND
https://i.postimg.cc/x1wBD4ZJ/ft.png,10-04-2023
https://i.postimg.cc/g0V8HzCc/2018-T-64-BV-destr-06-28-25.jpg,28-06-2025
https://i.postimg.cc/j54fjhbp/2007-t64bv-dam-aband.jpg,10-12-2022
https://i.postimg.cc/V6mxyh0W/499.png,20-04-2022
https://i.postimg.cc/WzKkTv85/4433.png,25-02-2025
https://i.postimg.cc/zB5nZsVd/2100.jpg,29-04-2022
https://i.postimg.cc/XNsXBWc1/04-30-2022-T-64-BV-destroyed-Kherson-region.png,30-04-2022
https://i.postimg.cc/zfdggTnG/17.png,04-03-2022
https://i.postimg.cc/76RdfgGd/11d.png,28-05-2022
https://i.postimg.cc/bJGMsw2L/223.png,NO_DATE_FOUND
https://i.postimg.cc/vmSH43QP/2006-t72b-destr-xx-03-22.jpg,15-03-2022
https://i.postimg.cc/gcvHPYnx/43.png,08-04-2022
https://i.postimg.cc/yNjD9zHJ/43.png,NO_DATE_FOUND
https://i.postimg.cc/tJpVfV1D/278.png,NO_DATE_FOUND
https://i.postimg.cc/RF8kRHzj/2260.png,NO_DATE_FOUND
https://postlmg.cc/JD8TfTR7,NO_DATE_FOUND
https://i.postimg.cc/6pGdTLzv/2017-T-72-destr-06-28-25.jpg,28-06-2025
https://i.postimg.cc/SNL67b6r/236.png,NO_DATE_FOUND
https://i.postimg.cc/ZnMyg04W/6669.jpg ,NO_DATE_FOUND
https://i.postimg.cc/0Q71gWbb/652.png,06-03-2022
https://i.postimg.cc/J4gh9ZyM/2003-brdm2-destr-31-2-22.jpg,31-02-2022
https://i.postimg.cc/ZYQhmscP/438.png,10-03-2022
https://i.postimg.cc/Znpzq7dX/f9.png,25-05-2022
https://postimg.cc/WhTyyztk,28-07-2022
https://i.postimg.cc/zB37hLrN/s3.png,05-03-2022
https://i.postimg.cc/KYqTCB0t/224w.png,NO_DATE_FOUND
https://i.postimg.cc/sDBwnx0y/2001-brdm2-destr.jpg,NO_DATE_FOUND
https://i.postimg.cc/pdCf9gRm/2000-mtlb-destr.jpg,26-10-2022
https://i.postimg.cc/v8rXnnRk/2011-mtlb-destr-xx-04-22.jpg,15-04-2022
https://i.postimg.cc/9f7xTgdS/43.png,13-04-2022
https://i.postimg.cc/qq2YGpNh/6657.png,10-11-2022
https://postimg.cc/0z7ztSzS,06-02-2023
https://postlmg.cc/nj9sZrR5,03-05-2022
https://i.postimg.cc/RZCkR886/6553.png,NO_DATE_FOUND
https://i.postimg.cc/MHw5KcX8/2108.jpg,NO_DATE_FOUND
https://i.postimg.cc/QNbT9fpd/3dd.png,27-06-2022
https://postimg.cc/QFgQx7yM,26-01-2023
https://i.postimg.cc/WzQzjzPz/4439.png,05-10-2022
https://postlmg.cc/XXyF6HtJ,06-09-2022
https://i.postimg.cc/1XbyhyhB/10-20-2022-UA-BMP-1-destroyed-exact-date-unknown-t-me-lost-warinua-comments-66470.png,NO_DATE_FOUND
https://i.postimg.cc/s2R4mZRy/2x-UA-BMP-1-destroyed.png,NO_DATE_FOUND
https://i.postimg.cc/s2R4mZRy/2x-UA-BMP-1-destroyed.png,NO_DATE_FOUND
https://i.postimg.cc/X7VLGKv6/1010-bmp1-destr.jpg,10-11-2022
https://i.postimg.cc/j2ZtKyG7/UA-BMP-1-destroyed.png,15-04-2022
https://i.postimg.cc/L8WBr9Nk/UA-BMP-1-destroyed5.png,15-04-2022
https://i.postimg.cc/LsCtzHZg/UA-BMP-1-destroyed6.png,15-04-2022
https://i.postimg.cc/GpHWPF0k/764.png,NO_DATE_FOUND
https://i.postimg.cc/tgY3YrLH/65993.png,NO_DATE_FOUND
https://i.postimg.cc/5NbT4Tf7/658.png,NO_DATE_FOUND
https://i.postimg.cc/kGwkvKqd/s1.png,10-05-2022
https://i.postimg.cc/jqNSKcG6/332.png,NO_DATE_FOUND
https://postimg.cc/xNzxYf2C,13-07-2022
https://i.postimg.cc/fRC04MXV/2123-BMP-1-TS-destr-210-10-24.jpg,21-10-2024
https://i.postimg.cc/VLnB3cWJ/2015_BWP-1_capt_15_12_23.jpg,15-12-2023
https://i.postimg.cc/L6pWXxQX/578.png,25-04-2022
https://i.postimg.cc/2yXMT29N/2000.jpg,16-07-2022
https://i.postimg.cc/rwp6mVH4/4369.png,22-05-2022
https://postlmg.cc/SJSMYSJX,20-09-2022
https://i.postimg.cc/Jzjk9Jdp/58o.png,23-03-2023
https://i.postimg.cc/VvT2vCZq/4430.png,07-04-2023
https://i.postimg.cc/FHfJ55Vb/h.png,NO_DATE_FOUND
https://i.postimg.cc/R0kKkN2F/44f30.png,15-11-2022
https://i.postimg.cc/Mphp0s1g/774.png,15-02-2023
https://i.postimg.cc/W3N33WLZ/4477.png,15-02-2023
https://i.postimg.cc/7ZZ9vztc/2006-bmp2.jpg,NO_DATE_FOUND
https://i.postimg.cc/5NZnXyDP/4360.png,17-07-2022
https://i.postimg.cc/tCcVXVTc/431.png,NO_DATE_FOUND
https://i.postimg.cc/VNkJMQpw/2001-bradley-destr-4-01-24.jpg,04-01-2024
https://i.postimg.cc/zGbTW4H3/2107_CV9040C_dam_aband_30_09_24.jpg,30-09-2024
https://i.postimg.cc/T3WqBBs3/4ff.png,23-05-2022
https://postlmg.cc/CnfM4bwt,30-03-2022
https://i.postimg.cc/W42RL0Ld/5554.png,24-02-2022
https://i.postimg.cc/3N61mFkq/436.png,03-06-2022
https://i.postimg.cc/MT11h5Hk/3368.png,NO_DATE_FOUND
https://i.postimg.cc/brZyFMTj/f4d.png,02-03-2022
https://i.postimg.cc/HW2WWCgR/277.png,NO_DATE_FOUND
https://i.postimg.cc/xdppgm3K/44389.png,15-07-2022
https://i.postimg.cc/vBr82KhS/98.png,02-05-2022
https://postimg.cc/YhJxSHh3,28-04-2022
https://i.postimg.cc/43N0bh7c/47.png,22-03-2022
https://i.postimg.cc/fyMybzyq/766.png,NO_DATE_FOUND
https://i.postimg.cc/0Q0f2X2J/665y.png,24-07-2023
https://i.postimg.cc/9F01kbh9/2005_M1224_MaxxPro_destr_30_04_25.jpg,30-04-2025
https://i.postimg.cc/3rnyNmDL/2026-M1224-Maxx-Pro-dam-aband.jpg,NO_DATE_FOUND
https://i.postimg.cc/9F01kbh9/2005_M1224_MaxxPro_destr_30_04_25.jpg,30-04-2025
https://i.postimg.cc/3rnyNmDL/2026-M1224-Maxx-Pro-dam-aband.jpg,NO_DATE_FOUND
https://i.postimg.cc/htY0YYyH/48j.png,22-03-2022
https://i.postimg.cc/ZKMHy31F/35570.png,18-10-2022
https://i.postimg.cc/xT2zK4zR/5547.png,28-05-2022
https://i.postimg.cc/Jz3fWZ7K/547.png,NO_DATE_FOUND
https://i.postimg.cc/yd79bqQv/4382.png,NO_DATE_FOUND
https://i.postimg.cc/T1gfvnQx/5g.png,28-05-2022
https://i.postimg.cc/zGhKSZ4W/643.png,10-08-2022
https://i.postimg.cc/2yTDYrFb/762.png,12-03-2022
https://i.postimg.cc/Y9QmHJ7T/5549.png,04-05-2022
https://i.postimg.cc/zDyW7hkb/5ge.png,NO_DATE_FOUND
https://i.postimg.cc/t4fw4nSm/2004-HMMWV-M1114-M1151.jpg,NO_DATE_FOUND
https://i.postimg.cc/6qBBgSwj/3144.png,26-02-2023
https://i.postimg.cc/NjHbGhrL/2003-HMMWV-ambulance-destr-24-12-223.jpg,24-12-2023
https://i.postimg.cc/MHHmB5bG/48800.png,14-02-2022
https://i.postimg.cc/VLP3MSPc/2076-Iveco-LMV-capt-60-10-25.jpg,06-10-2025
https://i.postimg.cc/FRMGgXDw/6511.png,NO_DATE_FOUND
https://i.postimg.cc/4d5f8ptm/image.jpg,NO_DATE_FOUND
https://i.postimg.cc/SsT2C89j/Screenshot-8133.png,25-02-2022
