link,date
https://i.postimg.cc/52vJB77X/1014-t62-obr1967.jpg,NO_DATE_FOUND
https://i.postimg.cc/T2SbrcFJ/1026-t62m-capt.jpg,NO_DATE_FOUND
https://i.postimg.cc/0j6ky0Rd/1101-T-62-M-Obr-2022-destr26-10-24.jpg,26-10-2024
https://i.postimg.cc/x8fnwmgv/1011_T-62M_Obr._2022_destr_19_03_25.jpg,19-03-2025
https://i.postimg.cc/SQYyjpnT/887.jpg,17-04-2022
https://i.postimg.cc/zBPksXf8/1000-t-72a.jpg,NO_DATE_FOUND
https://i.postimg.cc/VkHjZR9j/266.png,17-05-2022
https://i.postimg.cc/fR99sv0Q/1019-t72av-capt.jpg,12-10-2022
https://i.postimg.cc/rF0xgMxn/87.jpg,08-04-2022
https://i.postimg.cc/g2X2fTvd/1002-t72b.jpg,NO_DATE_FOUND
https://i.postimg.cc/MZQQkBRz/11-16-2022-T-72-B-destroyed.png,16-11-2022
https://i.postimg.cc/nhkLQRHd/1027-t72b-destr-xx-08-22.jpg,15-08-2022
https://i.postimg.cc/wxmTkTqR/1032-1x-t72b3m-2x-t72b-destr-xx-08-23.jpg,15-08-2023
https://i.postimg.cc/wxmTkTqR/1032-1x-t72b3m-2x-t72b-destr-xx-08-23.jpg,15-08-2023
https://i.postimg.cc/K8hxLxrJ/1300-t72b.jpg,19-08-2022
https://i.postimg.cc/yYR7RpLg/433f.png,NO_DATE_FOUND
https://i.postimg.cc/xCXPxnKM/g3.png,03-02-2022
https://i.postimg.cc/KvgcN12R/3786.png,15-02-2023
https://i.postimg.cc/vZbBJZJf/1026-t72b-capt.jpg,NO_DATE_FOUND
https://i.postimg.cc/k4jjk5XP/4433.jpg,01-04-2022
https://i.postimg.cc/X7jJqvZ8/276.png,15-12-2022
https://i.postimg.cc/HWXSMGPQ/1001.jpg,NO_DATE_FOUND
https://i.postimg.cc/8PQKDG7t/ta2.png,02-03-2022
https://i.postimg.cc/C5KNY21Q/1003.jpg,11-05-2022
https://i.postimg.cc/qvjrTktx/6698.png,04-07-2022
https://i.postimg.cc/ZYFZHnCh/54g.png,02-03-2023
https://i.postimg.cc/XvBxktkQ/1024-t72b1989-dam-aband.png,NO_DATE_FOUND
https://i.postimg.cc/ht5pxKTX/1033-t72bobr2022-destr-06-03-24-jpg.jpg,06-03-2024
https://i.postimg.cc/MG11NVNY/1017-t72bobr2022-dam-aband.jpg,NO_DATE_FOUND
https://i.postimg.cc/J0S24x0f/t1.png,22-03-2022
https://i.postimg.cc/VNHPkyZz/66889.jpg,31-03-2022
https://i.postimg.cc/BZjGgMFV/1004-t72b3.jpg,NO_DATE_FOUND
https://i.postimg.cc/4yf3q41F/1001-t72b3.jpg,NO_DATE_FOUND
https://i.postimg.cc/VLw50mt4/1007-t72b3-destr.jpg,13-12-2022
